algorithm,type,keygen_ms,encap_ms,public_key_bytes,ciphertext_bytes,shared_secret_bytes,sign_ms,signature_bytes
BIKE-L1,KEM,5.1447,0.2651,1541,1573,32,,
BIKE-L3,KEM,15.9541,0.8251,3083,3115,32,,
BIKE-L5,KEM,39.8833,2.0158,5122,5154,32,,
Classic-McEliece-348864,KEM,175.6179,0.0315,261120,96,32,,
Classic-McEliece-348864f,KEM,58.5091,0.0311,261120,96,32,,
Classic-McEliece-460896,KEM,540.9574,0.0523,524160,156,32,,
Classic-McEliece-460896f,KEM,188.8275,0.0499,524160,156,32,,
Classic-McEliece-6688128,KEM,1172.8994,0.106,1044992,208,32,,
Classic-McEliece-6688128f,KEM,414.3347,0.1011,1044992,208,32,,
Classic-McEliece-6960119,KEM,1175.6621,0.1255,1047319,194,32,,
Classic-McEliece-6960119f,KEM,377.0758,0.1285,1047319,194,32,,
Classic-McEliece-8192128,KEM,1549.542,0.1007,1357824,208,32,,
Classic-McEliece-8192128f,KEM,516.4321,0.0967,1357824,208,32,,
Kyber512,KEM,0.0362,0.0068,800,768,32,,
Kyber768,KEM,0.0088,0.0098,1184,1088,32,,
Kyber1024,KEM,0.0111,0.013,1568,1568,32,,
ML-KEM-512,KEM,0.0101,0.0085,800,768,32,,
ML-KEM-768,KEM,0.0119,0.0124,1184,1088,32,,
ML-KEM-1024,KEM,0.0194,0.0155,1568,1568,32,,
sntrup761,KEM,1.617,0.0498,1158,1039,32,,
FrodoKEM-640-AES,KEM,0.1956,0.2338,9616,9720,16,,
FrodoKEM-640-SHAKE,KEM,0.9353,1.0639,9616,9720,16,,
FrodoKEM-976-AES,KEM,0.3297,0.4263,15632,15744,24,,
FrodoKEM-976-SHAKE,KEM,2.0395,2.326,15632,15744,24,,
FrodoKEM-1344-AES,KEM,0.5658,0.7202,21520,21632,32,,
FrodoKEM-1344-SHAKE,KEM,3.6601,4.4107,21520,21632,32,,
Dilithium2,SIG,0.0316,,1312,,,0.0464,2420
Dilithium3,SIG,0.0404,,1952,,,0.0988,3293
Dilithium5,SIG,0.0508,,2592,,,0.1028,4595
ML-DSA-44,SIG,0.0362,,1312,,,0.1926,2420
ML-DSA-65,SIG,0.0734,,1952,,,0.2713,3309
ML-DSA-87,SIG,0.1088,,2592,,,0.3419,4627
Falcon-512,SIG,3.674,,897,,,0.1194,655
Falcon-1024,SIG,12.0948,,1793,,,0.2369,1270
Falcon-padded-512,SIG,3.656,,897,,,0.1233,666
Falcon-padded-1024,SIG,13.6953,,1793,,,0.2509,1280
SPHINCS+-SHA2-128f-simple,SIG,0.5762,,32,,,13.334,17088
SPHINCS+-SHA2-128s-simple,SIG,35.8514,,32,,,274.2313,7856
